szczegółowo	in detail
przyjeźdżać do Polski	to arrive in Poland
przyjeżdżać do szpitala	to arrive at the hospital
przybywać do pracy	to arrive at work
puszka [2]	a can; a tin
jeść pizzę	to eat a pizza
kwadrat	a square
losowy	random
losowo	randomly
przyjeżdżać do domu	to arrive home
przybywać na miejsce	to arrive at the scene
niedużo wiedzieć na na jakiś temat	to have little knowledge of sth
mieć dużą wiedzę z czegoś	to have a wide knowledge of sth
dobrze przygotowany	well-prepared
dobrze zorganizowany	well-organized
bronić kogoś	to defend sb
﻿obrona	a defense
chrzcić kogoś	to baptize sb
chrzest	baptism
przyjmować chrzest	to be baptized
zrobić na kogoś obławę	to round sb up
obława	a roundup
żenić się z kimś	to get married to sb
paryski	Parisian
śledzić kogoś	to follow sb
pościg	a chase
gonić kogoś	to chase (after) sb
jaskinia	a cave
czuć się samotnie	to feel lonely
samotny	lonely
wpadać na obiad	to come over for dinner
iść do toalety	to go to the restroom
iść do łóżka	to go to bed
﻿iść na kolację	to go to dinner
iść do szkoły	to go to school
iść na uczelnię	to go to university
iść do więzienia [2]	to go to jail; to go to prison
iść do kościoła	to go to church
jechać na lotnisko	to go to the airport
iść na plażę	to go to the beach
iść do kina	to go to the movies
iść do parku	to go to the park
iść na basen	to go to the swimming pool
iść do łazienki	to go to the bathroom
iść do kuchni	to go to the kitchen
iść do sypialni	to go to the bedroom
iść do salonu	to go to the living room
iść do sklepu	to go to the store
iść do banku	to go to the bank
jechać nad jezioro	to go to the lake
iść do restauracji	to go to a restaurant
iść na imprezę	to go to a party
iść na spotkanie	to go to a meeting
iść na koncert	to go to a concert
iść na konferencję	to go to a conference
iść do baru	to go to a bar
iść na festiwal	to go to a festival
jechać na przejażdżkę	to go for a ride
iść biegać [2]	to go for a run; to go running
iść na spacer	to go for a walk
iść na kawę	to go for a coffee
iść na drinka	to go for a drink
jechać na wakacje	to go on vacation
iść na zwolnienie	to go on sick leave
iść strajkować	to go on strike
wychodzić na scenę	to go on stage
przechodzić na dietę	to go on a diet
jechać na wycieczkę	to go on a trip
wyruszać na wyprawę	to go on an adventure
iść do domu	to go home
jechać za granicę	to go abroad
iść potańczyć	to go dancing
iść na zakupy	to go shopping
jechać do centrum	to go downtown
iść na piwo	to go for a beer
spontaniczny	spontaneous
spontaniczność	spontaneity
spontanicznie	spontanously
dobrze się bawić	to have fun
nabijać się z kogoś	to make fun of sb
wyśmiewać coś	to make fun of sth
przechodzić na angielski	to switch to English
przechodzić na polski	to switch to Polish
użyteczny	useful
bezużyteczny	useless
czepianie się szczegółów	nit-picking
szukać dziury w całym	to nitpick
kończyć zadanie	to complete a task
kończyć kurs	to complete a course
dzielić coś na coś	to divide sth into sth
zarażać się	to get infected
być na coś otwartym	to be open to sb
odwrotnie	the other way round
nawiązywać z kimś kontakt	to get in touch with sb
ambitna praca	an ambitious job
40 metrów kwadratowych	40 squaremeters
sprzymierzać się z kimś [2]	to ally with sb; to ally to sb
wieża	a tower
przekraczać rzekę	to cross the river
przechodzić przez ulicę	to cross the street
korzystać z czegoś	to take advantage of sth
wykorzystywać kogoś	to take advantage of sb
domyślne ustawienia	default settings
wykonywać transplantację [2]	to perform a transplantation; to perform a transplant
dawać coś komuś [2]	to give sb sth; to give sth to sb
zastępować kogoś [2]	to substitute for sb; to fill in for sb
robić rzeczy	to do things
być lojalnym wobec kogoś	to be loyal to sb
spadać ze schodów	to fall down the stairs
wypadać przez barierkę	to fall over the railing
balustrada	a railing
wyrzucić kogoś przez barierkę	to throw sb over the railing
wyrzucać coś do śmieci	to throw sth into the garbage
w ogóle	at all
zakładać się z kimś	to make a bet with sb
przegrywać zakład	to lose a bet
wygrywać zakład	to win a bet
stawiać coś na kogoś	to bet sth on sth
poświęcać coś (rezygnować z czegoś)	to sacrifice sth
rzucać pracę	to give up a job
rezygnować z robienia czegoś	to give up doing sth
rzucać taniec	to give up dancing
rzucać palenie	to give up smoking
rzucać narkotyki	to give up drugs
skreślać słowo	to strike a word
tracić nad czymś kontrolę	to lose control over sth
powstrzymywać kogoś przed zrobieniem czegoś	to prevent sb from doing sth
powstrzymać kogoś od czegoś	to prevent sb from sth
podkreśliać coś	to stress sth
nad morzem	at the sea
butla z gazem	a propane tank
wstydzić się czegoś	to be ashamed of sth
udzielać komuś pozwolenia	to give sb permission
iść w dobrym kierunku	to go in the right direction
iść w złym kierunku	to go in the wrong direction
poznawać kogoś lepiej	to get to know sb better
skazywać kogoś na śmierć	to sentence sb to death
zostać skazanym na śmierć	to be sentenced to death
wykrwawiać się na śmierć	to bleed to death
kara śmierci	the death penalty
liczba ofiar śmiertelnych	the death toll
być świadkiem czegoś [2]	a witness to sth; to witness sth
panować	to reign
Dzięki temu...	Thanks to that...
Dzięki Tobie...	Thanks to you...
sprawiać, że ktoś coś robi	to make sb do sth
zgłaszać się na ochotnika	to volunteer
W ciągu tych dni...	During those days...
osiągać porozumienie	to reach agreement
przybyć na stacji kolejowej	to arrive at the train station
przybyć na impreze	to arrive at the party
przybyć do banku	to arrive at the bank
przybyć do mojego przyjaciela	to arrive at my friend's
przybyć na spotkanie	to arrive at the meeting
przybyć do szkoły	to arrive at school
brać coś pod uwagę	to take sth into consideration
pandemia	a pandemic
poświęcać się czemuś	to be dedicated to sth
odpowiadać na e-maile	to reply to emails
odpowiadać na wiadomości	to reply to messages
odpowiadać komuś [2]	to reply to sb; to respond to sb; to answer sb
jechać na zachód	to go west
szkodzić swojej reputacji	to damage my reputation
pozbywać się czegoś	to get rid of sth
w więzieniu [2]	in prison; in jail
zapraszać kogoś na coś	to invite sb to sth
zapraszać kogoś na kawę	to invite sb for a coffee
zapraszać kogoś na kolację	to invite sb to dinner
sąsiedni kraj	a neighboring country
nowo przybyły	a new arrival
nowo przybyły [2]	a newcomer; an new arrival
kropka	a period
cudzysłów	a quotation mark
w cudzysłowie	in quotation marks
nawias kwadratowy	a square bracket
dwukropek	a colon
średnik	a semicolon
wielokropek	an ellipsis
myślnik	a dash
ukośnik	a slash
wykrzyknik	an exclamation mark
nawias	a parenthesis
przecinek	a comma
znak zapytania	a question mark
w nawiasach	in parentheses
łącznik	a hyphen
spadek	an inheritance
zostawiać komuś spadek	to leave sb an inheritance
dziedziczyć coś	to inherit sth
dokonywać przelewu	to make a transfer
pogrubioną czcionką	in bold
dziura	a hole
głosować na kogoś	to vote for sb
głosować przeciw komuś	to vote against sb
podejrzany (osoba)	a suspect
podejrzewać kogoś	to suspect sb
podejrzewać kogoś o coś	to suspect sb of sth
osoba o podobnym nastawieniu	a like-minded person
odwiedzać kogoś	to visit sb
wracać późno do domu	to come back home late
psuć komórkę	to break a cell phone
rozmawiać z kimś	to talk to sb
wyjeżdżać	to leave
zostawać w domu	to stay at home
nie mieć nic do roboty	to have nothing to do
płacić rachunki	to pay the bills
pomagać komuś	to help sb
być pewnym, że...	to be sure that...
spędzać z kimś czas	to spend time with sb
mierzyć komuś temperaturę	to take sb's temperature
źle się czuć (o zdrowiu)	to feel unwell
w poprzedniej pracy	in the previous job
w poprzednim odcinku	in the previous episode
być powściągliwym	to be reserved
odbierać kogoś ze szkoły	to pick sb up from school
spać u mojej koleżanki	to sleep at my friend's
jeść na mieście	to eat out
wydawać na coś pieniądze	to spend money on sth
być w domu	to be at home
być cicho	to be silent
robić pracę domową	to do your homework
nie mieć pieniędzy	to have no money
znajdować czas dla kogoś	to find time for sb
być dla kogoś ważnym	to be important to sb
skupiać się na czymś	to focus on sth
być głośno	to be loud
grać mecz	to play a match
dołączać do kogoś	to join sb
oszczędzać pieniądze	to save some money
dawać komuś znać	to let sb know
iść wcześnie spać	to go to sleep early
robić prezentację	to give a presentation
tęsknić za domem	to feel homesick
raz	once
wyjeżdżać z miasta	to leave town
uczyć się na test	to study for a test
zabierać kogoś do domu	to take sb home
jeść kolację	to eat dinner
oglądać mecz	to watch a match
wpadać (do kogoś)	to drop by
w weekend	on the weekend
Co powiesz na...	What about...
wkładać coś do szuflady	to put sth in the drawer
wkładać coś do zamrażarki	to put sth in the freezer
wkładać coś do bagażnika	to put sth in the trunk
wkładać coś do kieszeni	to put sth in your pocket
chodnik	a sidewalk
geodeta	a land surveyor
ratusz	a town hall
wystawiać fakturę [2]	to issue an invoice; to make out an invoice
księgować fakturę	to book an invoice
faktura	an invoice
Dlatego...	That's why...
w ciszy	in silence
jak już	once
na miejscu	in the place
rozwiązywać problem (nie: solve)	to tackle a problem
elektryk	an electrician
wywierać na kimś presję	to put pressure on sb
pamiętnik	a diary
harmonogram	a schedule
iść do wojska	to go to the army
iść na północ	to go north
iść na wschód	to go east
iść na południe	to go south
iść do szpitala	to go to the hospital
być zrobionym	to be done
uczyć się do egzaminu	to study for an exam
poznawać kogoś	to meet sb
przeziębiać się	to catch a cold
bać się czegoś	to be afraid of sth
przeprowadzać się	to move
znajdować nową pracę	to find a new job
mieć energię	to have energy
pić kawę	to have some coffee
prosić o podwyżkę	to ask for a pay-raise
być z powrotem w biurze	to be back in the office
widzieć kogoś	to see sb
być podekscytowanym	to be excited
nie móc się doczekać	can't wait
zaczynać kurs angielskiego	to start an English course
być gotowym	to be ready
przegrywać sprawę	to lose a case
przez ciebie	because of you
błąd	a mistake
odkładać spotkanie	to put off a meeting
dziać się	to happen
być pewnym	to be sure
podchodzić do testu z angielskiego	to take an English test
pamiętać coś	to remember sth
w tamtym tygodniu	last week
mieć nadzieję	to hope
żona	a wife
mówić komuś prawdę	to tell sb the truth
wydawać pieniądze na ubrania	to spend money on clothes
nadal	still
pić	to drink
na imprezie	at the party
późno	late
pogoda	the weather
kończyć coś robić	to finish doing sth
w moim rodzinnym mieście	in my hometown
spędzić następny weekend	to spend next weekend
kancelaria	a law firm
robić wrażenie	to make an impression
imponować komuś	to impress sb
kończyć dziennikarstwo	to graduate in journalism
kończyć studia	to graduate from university
kończyć liceum	to graduate from high school
kończyć studia prawnicze	to graduate in law
kończyć informatykę	to graduate in IT
główny bohater	the main character
główny problem	the main problem
główny powód	the main reason
główny zespół	the main team
danie główne	the main course
na główne danie	for the main course
zapobiegać rozprzestrzenianiu się wirusa	to prevent the virus from spreading
chodzić z kimś	to date sb
bać się o coś	to be afraid about sth
bać się pytań	to be afraid of questions
bać się o kogoś	to be afraid about sb
bać się kogoś	to be afraid of sb
(czyjaś) dziewczyna	a girlfriend
(czyjś) chłopak	a boyfriend
ambitny plan	an ambitious plan
mieć dużo pracy	to have a lot of work
na spotkaniu	at the meeting
wspominać coś	to mention sth
przyjeźdżać do Warszawy (nie: arrive)	to come to Warsaw
być niegrzecznym wobec kogoś	to be rude to sb
opowiadać komuś kawał	to tell sb a joke
dzisiaj	today
spędzać czas z kimś	to spend time with sb
﻿w zeszły weekend	last weekend
rodzina	a family
opowiadać komuś historię	to tell sb a story
być prywatnym	to be private
zostawiać napiwek	to leave a tip
klient	a customer
okłamywać kogoś	to lie to sb
wymówka	an excuse
znajdować wymówkę	to make an excuse
mieć wymówkę	to have an excuse
oddawać coś	to give sth back
nieruchomość	a property
robić bałagan	to make a mess
być głodnym	to be hungry
jeść śniadanie	to eat breakfast
szybko biegać	to run fast
zdążać na pociąg	to catch the train
prowadzić	to drive
bać się	to be afraid
mieć wypadek	to have an accident
trzymać się planu	to stick to the plan
w następnym tygodniu	next week
pracować	to work
jutro	tomorrow
zaprzyjaźniać się	to make friends
w zespole	on the team
jechać nad morze	to go to the seaside
być naćpanym [2]	to be high
kończyć w sądzie	to end up in court
trafiać do więzienia	to end up in jail
trafiać do szpitala	to end up in the hospital
kończyć gdzieś	to end up swh
kończyć na ulicy	to end up on the street
kończyć w łóżku	to end up in bed
wylądować u mnie	to end up at my place
kończyć, robiąc coś	to end up doing sth
kłaść dziecko spać	to put a kid to sleep
wiele razy	many times
iść z kimś na imprezę	to go to a party with sb
składać obietnicę	to make a promise
być kimś rozczarowanym	to be disappointed with sth
łamać obietnicę	to break a promise
ufać komuś	to trust sb
przez długi czas	for a long time
rozmawiać o czymś	to talk about sth
przeprowadzać się na wieś	to move to the countryside
czytać książkę	to read a book
do końca roku	by the end of the year
ostatni	last
szukać pracy	to look for a job
oferta	an offer
zdążać na ostatni pociąg	to catch the last train
płuco	a lung
ustawiać alarm	to set an alarm
ustawiać budzik na 6	to set an alarm for 6 am
meduza	a jellyfish
sesja zdjęciowa [2]	a photo session; a photo shoot
robić zdjęcie czegoś	to take a picture of sth
robić komuś zdjęcie	to take a picture of sb
mieć na coś negatywny wpływ	to have a negative influence on sth
literówka	a typo
w mieście [2]	in the city; in town
odwiedzać miejsce	to visit a place
w tym roku	this year
mieć czas	to have time
potrzeba	a need
spieszyć się	to hurry up
nie zdążać na pociąg	to miss the train
zachowywać się	to behave
w ten sposób	like that
rozmawiać z kimś przez telefon	<div>to talk to sb over the phone</div>
pamiętać	to remember
dziś wieczorem	tonight
dostawać pracę	to get a job
reszta twojego życia	the rest of your life
godny zaufania	trustworthy
wprowadzać w błąd	to be confusing
być zakłopotanym	to be confused
cytować kogoś [2]	to quote sb; to cite sb
cytat	a quote
traktować kogoś	to treat sb
dobrze kogoś traktować	to treat sb well
leczyć chorobę	to treat a disease
leczyć pacjenta	to treat a patient
być zdolnym do czegoś	to be capable of sth
być zdolnym do zrobienia czegoś	to be capable of doing sth
być zdolny do wszystkiego	to be capable of everything
3-miesięczne wypowiedzenie	a 3-month notice
być w kontakcie	to be in touch
mieć czegoś dość	to be fed up with sth
pracować nad projektem	to work on a project
ostrzegać kogoś, że...	to warn sb that...
Ostrzegałem cię, że...	I've warned you that...
wypadek	an accident
na autostradzie	on the highway
wychodzić na miasto	to go out
przeprowadzać się do Warszawy	to move to Warsaw
w następnym miesiącu	next month
czuć się zawiedzionym	to feel disappointed
pracować jako kelnerka	to work as a waitress
w liceum	in high school
W pewnym momencie...	At some point...
wracać do siebie (w związku)	to get back together
problem [2]	a problem; an issue
rozmawiać o kimś	to talk about sb
zostawiać coś	to leave sth
wpadać w poślizg	to go into a skid
jechać prosto	to go straight ahead
śliska droga	a slippery road
kosmetyczka	a beautician
zwalniać pedał hamulca	to release the brake pedal
zwalniać pedał gazu	to release the  accelerator pedal
być anonimowym	to be anonymous
na papierze	on paper
patrzeć na coś	to look at sth
być znudzonym	to be bored
być w mieście	to be in town
obiecywać coś komuś [2]	to promise sb sth; to promise sth to sb
układać włosy	to do your hair
śmiać się z kogoś	to laugh at sb
mieć kaca	to have a hangover
znaczyć coś	to mean sth
brać coś do siebie	to take sth personally
do lata	until summer
spierać się z kimś	to argue with sb
mieć sens	to make sense
mówić dobrze po angielsku	to speak English well
być rozbawionym	to be amused
być zabawnym (nie: funny)	to be amusing
lojalność	loyalty
wysyłać komuś wiadomość [2]	to send sb a message; to send a message to sb
wysyłać komuś mejla [2]	to send sb an email; to send an email to sb
wysyłać komuś list [2]	to send sb a letter; to send a letter to sb
wysyłać coś komuś [2]	to send sb sth; to send sth to sb
odkładać coś na następny tydzień	to put sth off until next week
przekładać spotkanie na jutro [2]	to postpone a meeting until tomorrow; to put off a meeting until tomorrow
na początku czegoś	at the beginning of sth
na początku kursu	at the beginning of the course
na początku gry	at the beginning of the game
na początku filmu	at the beginning of the movie
na początku roku	at the beginning of the year
na początku sezonu	at the beginning of the season
na początku odcinka	at the beginning of the episode
na początku historii	at the beginning of the story
na początku roku szkolnego	at the beginning of the school year
na początku spotkania	at the beginning of the meeting
na początku lekcji	at the beginning of the lesson
miliard	a billion
popisywać się	to show off
możliwość	a possibility
zwalniać kogoś	to fire sb
tyć	to gain weight
zbyt mało jeść	to eat too little
nauczyć się czegoś na test	to study sth for the test
mieć rację	to be right
obiecywać	to promise
być zaskoczonym	to be in shock
zauważać coś	to notice sth
na koncie	in the bank account
pieniądze	money
zasada	a rule
wyjaśniać sytuację	to explain the situation
jeden z moich klientów	one of my clients
pozbywać się kogoś	to get rid of sb
sprawiać problemy	to make trouble
w mieszkaniu	in the apartment
pokój	a room
czytać o czymś	to read about sth
pojawiać się na spotkaniu	to show up at the meeting
być w kawiarni	to be at the coffee shop
teraz	now
w tym miesiącu	this month
być dobrym w czymś	to be good at sth
być w czymś świetnym	to be great at sth
mieć czas, żeby coś zrobić	to have time to do sth
znajdywać rozwiązanie	to find a solution
trzymać coś w tajemnicy [2]	to keep sth a secret; to hold sth back
uczestnik	a participant
spotkanie	a meeting
mieć do czegoś słabość	to have a weakness for sth
jeść z kimś obiad (nie: eat)	to have lunch with sb
szef	a boss
dostawać pożyczkę (nie: get, receive, obtain)	to be granted a loan
być w stanie coś zrobić	to be able to do sth
prowadzić badanie (nie: lead)	to conduct a study
wreszcie	finally
pić herbatę (nie: drink)	to have tea
często	often
sąsiad	a neighbor
lubić kogoś	to like sb
pierwotny plan	the initial plan
wymykać się spod kontroli	to get out of control
rozumieć kogoś	to understand sb
być złym na kogoś	to be mad at sb
docierać na spotkanie	to get to a meeting
na czas	on time
mówić prawdę	to tell the truth
gratulacje	congratulations
słyszeć wieści	to hear the news
polityka	politics
nowo zatrudniona osoba (nie: person)	a new hire
windykator	a debt collector
mierzyć się z problemem	to face a problem
stawić czemuś czoła	to face sth
rozwodzić się z kimś	to divorce sb
iść późno spać	to go to sleep late
szukać kogoś	to look for sb
głos przeciwko komuś	a vote against sb
kandydat	a candidate
opuszczać budynek	to leave the building
robić test ciążowy	to do a pregnancy test
test ciążowy	a pregnancy test
agencja nieruchomości	a real estate agency
dowiadywać się, że...	to find out that...
rodzić się	to be born
dziecko	a kid
podróżować	to travel
mąż	a husband
być w związku małżeńskim	to be married
dowiadywać się czegoś	to find sth out
kilka tygodni temu	a few weeks ago
mieć właśnie coś zrobić	to be about to do sth
pojawiać się	to show up
zostawać dłużej w pracy	to stay at work longer
niepotrzebne rzeczy	unnecessary things
życie	a life
zmieniać się	to change
zostać zwolnionym	to get fired
być zmęczonym	to be tired
być ciągle zmęczonym	to be constantly tired
ćwiczyć (na siłowni)	to work out
być w formie	to be in shape
być zainteresowanym tematem	to be interested in a subject
prasa	the press
pisać o czymś	to write about sth
przeważnie	mostly
opowiadać o czymś	to tell about sth
problem	a problem
nieznajomy	a stranger
pluć na kogoś	to spit at sb
﻿komar	a mosquito
wyrażenie	a phrase
na zaawansowanym poziomie	at the advanced level
po twojej stronie	on your end
CV	a resume
oszustwo	fraud
oszust	a fraud
wygłaszać przemówienie	to give a speech
dawać wykład	to give a lecture
iść na ugodę	to settle
zawierać ugodę w danej sprawie	to settle a case
osada	a settlement
być skazanym na rok więzienia	to be sentenced to a year in jail
pierwszego dnia	on the first day
pierwsze wrażenie	the first impression
pierwsza osoba, która wyszła	the first person to leave
pierwszy projekt	the first project
pierwszy semestr	the first semester
pierwszy krok	the first step
pierwsza podróż	the first trip
pierwszy rok	the first year
pierwszy sezon	the first season
być pierwszym w kolejce	to be the first in line
siedzieć w pierwszym rzędzie	to sit in the first row
na pierwszej randce	on the first date
robić pierwszy krok	to take the first step
telefon komórkowy	a cell phone
ulegać czemuś [2]	to surrender to sth; to give in to sth
okazywać się dobrą osobą	to turn out to be a good person
okazywać się oszustem	to turn out to be a cheater
okazywać się kłamcą	to turn out to be a liar
strażnik	a guard
mścić się na kimś	to take revenge on sb
dręczyć kogoś	to put sb upon the rack
robić zupę	to make soup
rzygać	to throw up
ulepszać coś	to improve sth
być skutecznym	to be efficient
uczyć się czegoś (nie: learn)	to study sth
wesele	a wedding party
kilka dni (nie: a few)	a couple of days
Chociaż... (nie: although)	Even though...
znajomy	a friend
niebezpieczny pies	a dangerous dog
być zapominalskim	to be forgetful
cała drużyna	the whole team
otwierać nową filię	to open a new branch
filia	a branch
robić się zajętym	to get busy
parkować swój samochód	to park your car
być daleko od czegoś	to be far away from sth
centrum handlowe	a mall
jeździć na rowerze	to ride a bike
zdawać sobie sprawę, że...	to realize that...
przejechać znak stop	to run a stop sign
mieć z czymś problem	to have a problem with sth
restauracja	a restaurant
uspokajać kogoś	to calm sb down
brać udział w czymś	to take part in sth
brać udział w maratonie	to take part in a marathon
nieodpowiednie pytanie	an unappropriate question
mieć wyrzuty sumienia	to have remorse
szczepić kogoś na coś	to vaccinate sb for sth
szczepionka na coś	vaccine for sth
zostać zaszczepionym	to get vaccinated
płacić grzywnę	to pay a fine
grzywna	a fine
być dobrze zorganizowanym	to be well-organized
być dobrze wyposażym	to be well-equipped
być dobrze zbudowanym	to be well-built
respirator	a respirator
zajmować się kimś (nie: take, look)	to attend to sb
przyjmować kogoś do szpitala	to admit sb to the hospital
epidemia	an epidemic
wybuch epidemii	an epidemic outbreak
sprzedawca	a shop assistant
być na linii frontu	to be in the front line
przyzwyczajać się do robienia czegoś	to get used to doing sth
przyzwyczajać się do sytuacji	to get used to the situation
coś kogoś obchodzi	to care about sth
dbać o opinię innych osób	to care about others' opinion
kwalifikować się do czegoś	to be eligible for sth
kwalifikować się do ubezpieczenia	to be eligible for insurance
wymyślać coś	to come up with sth
być wytrwałym	to be persistent
udowadniać swoje racje	to prove your point
dowodzić czegoś	to prove sth
przypominać coś komuś [2]	to remind sb sth; to remind sth to sb
czuć ulgę	to feel relieved
być wdzięcznym	to be grateful
ostrzegać kogoś o czymś	to warn sb about sth
dostawać grzywnę	to get a fine
zostać zaskoczonym	to get surprised
wyprowadzać się	to move out
trzymać się od czegoś z dala	to stay away from sth
kontynent	a continent
głód	hunger
na świecie	in the world
walczyć o coś	to fight for sth
środek do zmiękczania tkanin	fabric softener
﻿być na zwolnieniu lekarskim	to be on sick leave
osoba fizyczna (nie: person)	an individual
stosować się do zasad	to comply with the rules
lekarz (nie: doctor)	a physician
nie mieć umiejętności	to lack skills
nie mieć wiedzy na jakiś temat (nie: have)	to lack knowledge of sth
nie mieć czegoś (nie: have)	to lack sth
korporacja	a corporation
na pokładzie	on board
kara śmierci (nie: death)	capital punishment
zgadzać się na coś	to agree to sth
podejmować ryzyko	to take risk
wynajmować mieszkanie	to rent an apartment
własny dom	my own house
kupować dom	to buy a house
uśmiechać się do kogoś	to smile at sb
przemyśleć coś	to think sth over
być humorzastym	to be moody
siedzieć przed telewizorem	to sit in front of the TV
codziennie	every day
robić kolację	to make dinner
brać pożyczkę	to take out a loan
żyć w ubóstwie	to live in poverty
zaręczać się	to get engaged
wygrywać sprawę	to win a case
swędzieć	to be itchy
mieć prawo zachować milczenie	to have the right to remain silent
pozostawać	to remain
pozostawać otwartym	to remain open
otrzymywać [2]	to get sth; to receive sth; to obtain sth
wystarczające wsparcie	sufficient support
dalsze badania	further research
robić dalsze badania	to do further research
potrzebować dodatkowych informacji	to need further information
potrzebować dodatkowych szczegółów	to need further details
mieć wystarczające oszczędności	to have sufficient savings
statystyka	statistics
wzrost czegoś	an increase in sth
wzrost sprzedaży	an increase in sales
powodować wzrost czegoś	to cause an increase in sth
brać prysznic [2]	to take a shower; to have a shower
być upoważnionym, żeby coś zrobić	to be authorized to do sth
paszport	a passport
Polacy	the Polish
Brytyjczycy	the British
płacić podatek	to pay a tax
potrzebować czyjejś porady	to need sb's advice
Ostatni raz, kiedy rozmawialiśmy...	The last time we talked...
mówić coś	to say sth
być żywym	to be alive
Kiedy ostatnim razem...	When was the last time...
włączać światła (w samochodzie)	to turn on the headlights
zatrzymywać kogoś (o drogówce)	to pull sb over
policja	the police
palić coś	to burn sth
twoje rzeczy	your stuff
za chwilę	in a moment
parkować samochód	to park a car
przed budynkiem	in front of the building
możliwość zrobienia czegoś	a possibility to do sth
fakt	a fact
zrywać	to break up
brać udział w konkursie [2]	to take part in a competition; to take part in a contest
konkurs [2]	a competition; a contest
podejmować kroki, aby coś zrobić	to take measures to do sth
iść na emeryturę	to retire
być na emeryturze	to be retired
znajdować swoje powołanie	to find your vocation
mieć ubezpieczenie	to have insurance
płacić za coś	to pay for sth
kupować nowy samochód	to buy a new car
należeć do kogoś	to belong to sb
decydować, że...	to decide that...
mieszkać za granicą	to live abroad
sprzątać pokój	to clean up my room
mama	a mom
sklep (nie: shop)	a store
wychodzić ze sklepu	to leave a store
więzienie [2]	a jail; a prison
osadzony	an inmate
obecnie	currently
dostawać skurczu	to get a cramp
topić się	to drown
nagle	suddenly
w łazience	in the bathroom
dawać komuś podwyżkę	to give sb a pay-raise
być zwolnionym	to be fired
Niestety...	Unfortunately...
mieć coś przeciwko	to mind
wyrażać swoją opinię	to express your opinion
informować kogoś	to inform sb
polegać na kimś	to rely on sb
produkt	a product
dostępny (na magazynie)	in stock
brać łapówkę	to take a bribe
tracić prawo jazdy	to lose your driver's license
jeździć po pijaku	to drive drunk
tracić panowanie nad sobą	to lose your temper
mieć kłopoty	to be in trouble
tracić pracę	to lose your job
wykonywać telefon	to make a call
wiedzieć coś	to know sth
książka o czymś	a book about sth
zachowywać się podejrzanie	to behave suspiciously
aresztować kogoś	to arrest sb
tańczyć z kimś	to dance with sb
przepraszać (nie: apologize)	to be sorry
Chciałbym...	I'd like to...
potwierdzać spotkanie	to confirm a meeting
mieć stały dochód	to have a steady income
nie mieć nic przeciwko czemuś	to have nothing against sth
rodzic	a parent
związek	a relationship
wygrywać zawody	to win a competition
odpowiadać na wiadomość	to reply to a message
docierać do domu	to get home
woleć coś od czegoś	to favor sth over sth
woleć kogoś od kogoś	to favor sb over sb
być prezycyjnym	to be precise
zasoby finansowe	financial resources
utrzymywać rodzinę	to provide for your family
utrzymywać kogoś	to provide for sb
obracać się przeciwko komuś	to backfire on sb
robić sobie drzemkę	to take a nap
marzyć o czymś	to dream of sth
pić wodę z kranu	to drink tap water
opcja	an option
mieć szlaban	to be grounded
zdawać sobie z czegoś sprawę	to realize sth
oszukiwać kogoś	to cheat sb
zapominać coś zrobić	to forget to do sth
rezerwować stolik	to book a table
jeść kolację [2]	to eat dinner; to have dinner
w restauracji	at the restaurant
mieć zamiar coś zrobić	to be going to do sth
zajście	an incident
niania	a nanny
zastępować coś czymś	to replace sth with sth
siedzieć w ostatnim rzędzie	to sit in the last row
ostatni odcinek	the last episode
ostatni sezon	the last season
ostatni raz	for the last time
w pierwszym odcinku	in the first episode
przy pierwszej okazji	at the first opportunity
uciekać od czegoś	to escape from sth
ocalić kogoś od czegoś	to save sb from sth
otrzymywać zniżkę	to get a discount
kupować meble	to buy furniture
zamykać drzwi (na klucz)	to lock the door
mieć dowody	to have evidence
wierzyć komuś	to believe sb
okradać kogoś	to rob sb
w pobliżu	nearby
bankomat	an ATM
zakładać czapkę	to put on a cap
być czymś podekscytowanym	to be thrilled about sth
u moich rodziców	at my parents'
przystanek autobusowy	a bus stop
wybór	a choice
brać dzień wolnego	to take a day off
mieć dzień wolny	to have a day off
wietnamski	Vietnamese
wyprowadzać się od rodziców	to move out of your parents' house
jeść coś na obiad	to eat sth for lunch
dostawać stypendium	to get a scholarship
mieć dobre stopnie	to have good grades
artykuł o czymś	an article on sth
ciągle coś robić	to keep doing sth
jeść szybko	to eat quickly
mieć ból brzucha	to have a stomachache
pies	a dog
pisać o czymś artykuł	to write an article about sth
być drażliwym	to be touchy
czekać na coś	to wait for sth
próg	a threshold
uzgadniać coś	to agree on sth
broń	a weapon
posiadać broń	to possess a weapon
zamierzać coś zrobić	to intend to do sth
wymagający nauczyciel	a demanding teacher
pijawka	a leech
odzywać się	to speak up
dobijać targu	to close a deal
zależeć od czegoś	to depend on sth
dostawać premię	to get a bonus
wolontariusz	a volunteer
zrywać z kimś	to break up with sb
spać	to sleep
wypijać filiżankę kawy	to drink a cup of coffee
tracić swoje oszczędności	to lose your savings
przyznawać, że...	to admit that...
zwracać produkt	to return a product
zabierać się do pracy	to get down to work
spóźniać się do pracy	to be late for work
zajmować się dziećmi	to take care of the kids
jeść obiad [2]	to eat lunch; to have lunch
robić obiad	to make lunch
w temacie	on the subject
rozwijać myśl na temat czegoś	to elaborate on sth
wyprzedać samochód	to overtake a car
oblewać egzamin na prawo jazdy	to fail a driving test
